#,Topic,Title,Context,Challenge,Potential Solution(s),Needed Resources,"Submissions by public entities, Universities and hospitals"
1,Art & Culture,The Digital Stage,"Online Rehearsals and Performances by Music and Theatre Groups, without the need to meet on a real stage","Low-Latency and Central Mixdown / Greenscreen Video Conference Tool, designed for Artistic Needs & Applications",This is Project No 265 of the German wirvsvirushackathon.org ( digital-stage.net ),All kinds of support,
2,Art & Culture,Cultural Experiences go Online,"With the current measures in place (and potential restrictions until the end of the year), museums and exhibitions are fighting for their economic survival, and a lot of people are confined to their four walls at home. But also during ""normal"" times, a part of the population is not able to visit museums etc, such as elderly people or people with walking difficulties.","How can we transform the cultural events, museums and art experiences to a digital channel and make it accessible remotely? How can we extent this solution also for older people?","A potential solution that has been suggested: - A simple and functional platform, bringing together children, grandchildren and grandparents. Ideally, for first prototyping streams of ""Tagesschau"" are implemented, later theatre performances - it combines synchronized streaming and videochat, but according to the principles of KISS (keep it simple and smart) - in short: it must work. No useless functions.",,
3,Art & Culture,Together into the virtual pandemic museum!,"Museums are closed, we stay at home and the Corona pandemic is THE topic. We spend the days alone with Netflix, home office and home workout.",We can't go to the museum together anymore. How can we gather new impressions from home and discover art and culture with other people?,"An independent digital museum that we visit together. We enter the museum individually or in groups and browse the rooms. We are connected via an audio chat and exchange information. In the rooms, content on the topic of pandemic is conveyed.","Research of public domain content, editing, illustration, UX design, back-end & front-end programming",
4,Art & Culture,Culture and health for a sustainable future,"People are forced to stay home and need/deserve creative outlets to help them cope, be inspired and make everyone feel connected through a shared love of art, creation, and life.","The wide range of media channels and disperse information makes it hard for people to understand the available cultural offering, both at the national and international level, and how to access it.","The creation of a web-information hub, in collaboration with the site culturaesalute.ch, which will contain Switzerland’s digital cultural offer as a whole, offering direct access to museums, music, dance, and theatre experiences through virtual views accessible directly from home.","We already own a solid database of relevant information, but would need help constructing and implementing the webpage.","Cultural Department, City of Lugano in collaboration with IBSA Foundation, as part of Lugano Living Lab"
5,Art & Culture,Virtual tourism ,Virtually free,"It is not possible to travel, tourism specialits are suffering and it probably will last a long period; people need to have distractions.","Virtual tourism with 3D glasses and possibility to do a virtual visit paying entry to museums etc, paying the tourism specialist that gave the opportunity of having the application (he can do the film with a drone also), and also the possibility to order a meal of the place visited, to hear music, to buy souvenirs, and everything is delivered at home. We also can imagine that hotel or planes are places where to do these travels without moving, with odors and sounds of the place visited, meals and souvenirs saled during the virtual visit, etc ",Tourism specialists ,
6,Art & Culture,Apollo 13 - Art in Isolation,"Children in homeschooling learn math, grammar, etc. With all the homework is not enough room left for creativity, art and theatre. Learning how to be creative with drawings, performances, audio or installations is important also in time of crisis.","Theatre and art-projects in schools and have been cancelled with no replacement online. Artists and art pedagogues are out of work right now, this project should bring this together.","A platform where parents and teachers find inspiring tasks for children, children find and share creativity and enables art and theatre-teachers to continue with their classes online. Children get in contact with and feedback from professional artists and pedagogues.","We are a group of freelance theatre-pedagogues that had the idea and called it Apollo 13 - Art in Isolation. We are collecting ideas from artists and teachers, we know but we need professional help to create the online platform.",
7,Art & Culture,Remote Music Lesson,"As a music teacher, I want to have a tool, that helps me to teach my students remotely (also when bandwidth is low)",Students no longer attend lessons to learn instruments and their teachers face severe income gaps.,,"Usability Engineer, Software developer, experience with at last one common music instrument is an asset",
8,After the Crisis,Transparency of investments and fundings for a circular economy,"States and companies are now investing millions in the preservation of the economy. Only this week, the Swiss government has put together an economic aid package worth about CHF 42 billion, that could be topped up in the next days.",How to make sure that the money does not go to the preservation of our linear model but also help to foster the transition to a circular and sustainable economic model? ,Developing an overview of consequent public and private investments and creating transparency on how this money is spent by companies. Some incentives and programs to support companies to make the right investment / development choices. ,"We have expertise in the Circular Economy and regulatory framework - please reach out for specific resources and reports. 
",
9,After the Crisis,NextNow_blockchain-based solidarity reward solution,"In this unprecendented times solidarity and shift from individual towards a sharing culture of collective thinking/behavior becomes more relevant than ever. Worldwide initiatives are  launched and thousands of people engage, support and even work pro bono for a better cause. ","We need to generate a solution to continuously drive this ""better human behavior"" mindset-shift across the globe. And by doing so, decrease human disengagement, frustration (of being isolated, sick or jobless etc.) or even potentials for crimes and revolutions.","Design the ""NextNow"" reward model based on human behavior and engagement.Tokens (smart contracts) serve as trophies. Everyone can say thanks and give each other feedback on the NextNow App. Once engagement index is tracked, GPS organizations start giving rewards...","Mock-ups (Adobe XD), architecture and first token (ERC20) existing. Require team with desired skills: Senior App Developer, Blockchain Coder (C++/Python/JavaScript. JavaScript/Solidity/GO etc.)",
10,After the Crisis,"Mobility before, during and after Corona",Our mobility behaviour changes in this extraordinary corona situation. We are instructed to stay at home if possible. ,How does our mobility in Switzerland change during and after the Corona period? How does the choice of transport mode change?,A visualization that shows how mobility behavior changes would be exciting. ,Surveys could be conducted and transaction data analysed. ,Bundesamt für Verkehr
11,After the Crisis,How to relaunch tourism after the crisis? ,"The Covid-19 has generated important economic repercussions for the tourism sector: cancelled bookings, uncertainty, liquidity problems. ","How to bring people back to buy, go to restaurants and other public places, attend events, use public transport and go on holiday (or anything related to tourism) without the fear or skepticism that will obviously continue in part (at least for some people) even when the emergency is over. Also useful are proposals for revenue differentiation (even during the crisis period). ",,Proposals at product level but also at communication level. Useful best practices (if available). ,
